BlueJ                                                                   - 5.0.3
Office 16 Click-to-Run Extensibility Component                          - 16.0.16130.20218
Office 16 Click-to-Run Localization Component                           - 16.0.13127.20616
Office 16 Click-to-Run Licensing Component                              - 16.0.16227.20204
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.32.31326          - 14.32.31326
Windows SDK for Windows Store Apps Metadata                             - 10.1.19041.685
Windows Desktop Extension SDK Contracts                                 - 10.1.19041.685
MSI Development Tools                                                   - 10.1.19041.685
Windows SDK for Windows Store Apps                                      - 10.1.19041.685
vcpp_crt.redist.clickonce                                               - 14.29.30139
Python 3.11.2 Standard Library (64-bit symbols)                         - 3.11.2150.0
WinRT Intellisense UAP - en-us                                          - 10.1.19041.685
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660              - 12.0.40660
Python 3.11.2 Executables (64-bit debug)                                - 3.11.2150.0
Python 3.11.2 Executables (64-bit)                                      - 3.11.2150.0
Windows SDK Desktop Tools x64                                           - 10.1.19041.685
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219             - 10.0.40219
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219             - 10.0.40219
vs_minshellmsires                                                       - 16.10.31303
Windows SDK for Windows Store Apps Libs                                 - 10.1.19041.685
Microsoft Update Health Tools                                           - 5.69.0.0
Bonjour                                                                 - 3.0.0.10
Windows SDK Modern Non-Versioned Developer Tools                        - 10.1.19041.685
Microsoft .NET Core Host FX Resolver - 3.1.32 (x64)                     - 24.192.31915
Python 3.10.4 Executables (64-bit)                                      - 3.10.4150.0
Microsoft .NET Core Runtime - 3.1.32 (x64)                              - 24.192.31915
Python 3.11.2 Documentation (64-bit)                                    - 3.11.2150.0
vs_FileTracker_Singleton                                                - 16.10.31303
Microsoft Visual C++ 2019 X64 Debug Runtime - 14.29.30139               - 14.29.30139
Python Launcher                                                         - 3.11.2150.0
Python 3.10.4 Utility Scripts (64-bit)                                  - 3.10.4150.0
Windows SDK for Windows Store Apps Contracts                            - 10.1.19041.685
Python 3.10.4 Development Libraries (64-bit)                            - 3.10.4150.0
